Turkmenistan,Ashgabat,
Turks and Caicos Islands,Grand Turk,
Tuvalu,Funafuti,
Uganda,Kampala,
Ukraine,Kyiv,
United Arab Emirates,Abu Dhabi,
United Kingdom,London,
United States,Washington,Central America
Uruguay,Montevideo,
US Minor Outlying Islands,Washington,Australia
US Virgin Islands,Charlotte Amalie,
Uzbekistan,Tashkent,
Vanuatu,Port-Vila,
Vatican City,Vatican City,
Venezuela,Caracas,
Vietnam,Hanoi,
Wallis and Futuna,Mata-Utu,
Western Sahara,El-Aaiún,
Yemen,Sanaa,
Zambia,Lusaka,
Zimbabwe,Harare,
